City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
418,Itaituba,BR,87.96,light rain,-4.2761,-55.9836,Hotel Campos
419,Guymon,US,66.2,clear sky,36.6828,-101.4816,Simple Rewards
422,Alta Floresta,BR,80.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
423,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
426,Vaitape,PF,78.39,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
427,Caravelas,BR,81.18,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
428,Cotonou,BJ,84.18,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
430,Srandakan,ID,63.73,light rain,-7.9386,110.2506,Puri Brata
431,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
432,Moussoro,TD,76.6,clear sky,13.6408,16.4901,Hôtel Salama
435,Paka,MY,71.53,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
437,Pathein,MM,71.33,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
441,Morondava,MG,80.58,moderate rain,-20.2833,44.2833,La Case Bambou
442,Loreto,MX,67.35,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
443,San Jose,US,67.51,clear sky,37.3394,-121.895,The Westin San Jose
446,Bilma,NE,65.68,clear sky,18.6853,12.9164,Expeditions Ténére voyages
447,San Pedro,PH,76.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
449,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
453,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
454,Guerrero Negro,MX,75.76,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
455,San Joaquin,US,62.46,haze,37.9333,-121.3011,University Plaza Waterfront Hotel
456,Aswan,EG,69.1,clear sky,24.0934,32.907,Nuba Nile
458,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
459,Ishigaki,JP,64.51,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
461,Ocotlan,MX,71.62,overcast clouds,20.35,-102.7667,Hotel Home 1
463,Kawalu,ID,71.62,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
466,Ranong,TH,73.71,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
468,Chilon,MX,64.0,broken clouds,17.2333,-92.4167,DOMICILIO ING. FIDEL PEREZ OLETA
469,Castro,BR,72.39,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
470,Umm Lajj,SA,74.05,overcast clouds,25.0213,37.2685,Moon light Furnished Units
473,Conakry,GN,84.27,mist,9.538,-13.6773,Riviera Royal Hotel
474,Pilar,BR,84.13,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
477,Puri,IN,66.72,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
479,Inhambane,MZ,80.58,few clouds,-23.865,35.3833,Oceano
481,Huarmey,PE,75.22,broken clouds,-10.0681,-78.1522,Hotel Miramar
482,Macara,EC,83.98,overcast clouds,-4.3833,-79.95,Hostal Macará
485,Laguna,US,68.23,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
488,Sola,VU,82.18,overcast clouds,-13.8833,167.55,Leumerus Bungalows
490,Noumea,NC,80.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
498,Salalah,OM,73.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
500,Bandarbeyla,SO,75.63,scattered clouds,9.4942,50.8122,JABIR HOTEL
502,Onverwacht,SR,85.86,scattered clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
503,Benguela,AO,75.81,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
506,Takoradi,GH,81.86,overcast clouds,4.8845,-1.7554,Raybow International Hotel
507,Biak,ID,75.7,overcast clouds,-0.9131,122.8766,Penginapan Kim
508,Santarem,BR,82.53,scattered clouds,-2.4431,-54.7083,Ecotur Lodge
512,Koboko,UG,78.37,overcast clouds,3.4136,30.9599,Hotel Diplomat
515,Luau,AO,64.31,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
517,Bontang,ID,75.29,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
519,Kumbo,CM,65.37,overcast clouds,6.2,10.6667,Western Inn Resort
520,Manjacaze,MZ,75.56,clear sky,-24.7117,33.8828,Hotel Gani
522,Itaueira,BR,81.57,broken clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
524,Itarema,BR,82.36,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
525,Sungairaya,ID,75.61,overcast clouds,0.7,108.9,Mess P.Milu
527,Clarence Town,AU,70.86,clear sky,-32.5833,151.7833,River Downs Cottage
528,Longido,TZ,64.74,scattered clouds,-2.7333,36.6833,Longido Mountain Lodge
529,Saint-Pierre,RE,78.48,light rain,-21.3393,55.4781,Lindsey Hôtel
530,Trairi,BR,82.15,overcast clouds,-3.2778,-39.2689,janelas do mar
532,Chanika,TZ,69.01,overcast clouds,-5.4167,38.0167,New Rombo Green Hotel
533,Augusto Correa,BR,81.66,broken clouds,-1.0217,-46.635,Fazenda Bacuri
534,Santa Catalina,PH,75.67,broken clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
536,Ambon,ID,80.89,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
537,Ahipara,NZ,68.29,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
538,Kendari,ID,74.82,moderate rain,-3.945,122.4989,Hotel Wixel
540,Lakatoro,VU,81.39,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
542,San Carlos De Bariloche,AR,85.44,clear sky,-41.1456,-71.3082,Hotel Patagonia
546,Camacha,PT,60.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
547,Codajas,BR,89.64,moderate rain,-3.8367,-62.0569,Atlântic Hotel
549,Ipameri,BR,69.57,overcast clouds,-17.7219,-48.1597,Real Hotel
550,Kloulklubed,PW,79.3,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
553,Maracacume,BR,80.04,overcast clouds,-2.0428,-45.9592,Hotel Ramos
555,Maragogi,BR,81.1,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
557,Marrakesh,MA,60.87,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
558,Damaturu,NG,74.25,clear sky,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
