City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,Cabedelo,-6.9811,-34.8339,75.87,75,100,6.04,BR,2022-01-09 05:38:51
152,Akdepe,42.0551,59.3788,32.09,62,83,6.82,TM,2022-01-09 05:38:51
153,Mokrous,51.2333,47.5167,2.12,100,85,6.85,RU,2022-01-09 05:38:51
154,Edd,13.9297,41.6925,82.56,58,14,15.82,ER,2022-01-09 05:38:52
155,Axim,4.8699,-2.2405,78.31,84,31,1.28,GH,2022-01-09 05:38:52
156,Bilma,18.6853,12.9164,50.05,30,0,15.52,NE,2022-01-09 05:38:52
157,Nuuk,64.1835,-51.7216,12.81,85,75,4.61,GL,2022-01-09 05:32:04
158,Joensuu,62.6012,29.7632,7.27,87,90,2.3,FI,2022-01-09 05:38:53
159,Iqaluit,63.7506,-68.5145,-25.87,75,0,4.61,CA,2022-01-09 05:38:53
160,Bonthe,7.5264,-12.505,76.3,88,27,3.31,SL,2022-01-09 05:38:53
161,Necochea,-38.5473,-58.7368,68.04,76,0,17.02,AR,2022-01-09 05:38:54
162,Porto Novo,6.4965,2.6036,80.42,86,44,4.32,BJ,2022-01-09 05:38:54
163,Afrikanda,67.4429,32.7828,-4.23,100,86,4.25,RU,2022-01-09 05:38:54
164,Dunbar,38.3606,-81.7374,40.12,79,90,3.0,US,2022-01-09 05:38:55
165,Alta Floresta,-9.8756,-56.0861,70.34,98,100,5.86,BR,2022-01-09 05:38:55
166,Lima,-12.0432,-77.0282,70.14,78,75,12.66,PE,2022-01-09 05:38:56
167,Sao Filipe,14.8961,-24.4956,73.2,64,44,7.56,CV,2022-01-09 05:38:56
168,Bambous Virieux,-20.3428,57.7575,83.21,83,40,12.66,MU,2022-01-09 05:30:38
169,Omboue,-1.5746,9.2618,77.99,91,73,4.05,GA,2022-01-09 05:38:56
170,Vardo,70.3705,31.1107,24.21,78,100,24.94,NO,2022-01-09 05:38:57
171,Oranjemund,-28.55,16.4333,67.55,84,39,5.57,NA,2022-01-09 05:38:57
172,Keti Bandar,24.1447,67.4497,66.27,47,0,12.28,PK,2022-01-09 05:38:58
173,Mounana,-1.4085,13.1586,71.13,89,99,1.57,GA,2022-01-09 05:38:58
174,Tarko-Sale,64.9225,77.785,-5.15,99,81,7.63,RU,2022-01-09 05:38:58
175,Ust-Tarka,55.5672,75.705,21.96,94,99,13.2,RU,2022-01-09 05:38:59
176,Mangan,27.5167,88.5333,68.4,47,11,6.33,IN,2022-01-09 05:38:59
177,Tucurui,-3.7661,-49.6725,72.91,99,100,1.86,BR,2022-01-09 05:38:59
178,Lincoln,40.8,-96.667,28.35,56,100,5.99,US,2022-01-09 05:39:00
179,Isilkul,54.9109,71.2728,18.57,94,99,12.66,RU,2022-01-09 05:39:00
180,Tefe,-3.3542,-64.7114,71.64,99,100,2.3,BR,2022-01-09 05:39:00
181,San Cristobal,7.7669,-72.225,69.98,90,81,3.42,VE,2022-01-09 05:39:01
182,Tahoua,14.8888,5.2692,60.93,14,3,10.38,NE,2022-01-09 05:39:01
183,Zabid,14.1951,43.3152,79.47,56,1,5.06,YE,2022-01-09 05:39:01
184,Sisimiut,66.9395,-53.6735,3.87,84,61,10.04,GL,2022-01-09 05:39:02
185,Asfi,32.2994,-9.2372,55.02,56,2,11.86,MA,2022-01-09 05:40:02
186,Bengkulu,-3.8004,102.2655,85.33,64,50,8.1,ID,2022-01-09 05:40:03
187,Kincardine,56.0667,-3.7167,39.56,95,34,7.92,GB,2022-01-09 05:40:03
188,Los Llanos De Aridane,28.6585,-17.9182,67.12,31,0,11.01,ES,2022-01-09 05:30:40
189,Kalemie,-5.9475,29.1947,72.48,84,100,4.56,CD,2022-01-09 05:40:03
190,Gaborone,-24.6545,25.9086,67.91,73,0,10.36,BW,2022-01-09 05:40:04
191,Monchegorsk,67.9397,32.8739,-0.65,97,67,4.32,RU,2022-01-09 05:40:05
192,Sept-Iles,50.2001,-66.3821,4.05,71,100,4.61,CA,2022-01-09 05:40:05
193,Liverpool,53.4106,-2.9779,41.83,85,40,8.01,GB,2022-01-09 05:40:05
194,Rio Branco,-9.9747,-67.81,74.01,100,75,3.44,BR,2022-01-09 05:40:06
195,Upernavik,72.7868,-56.1549,5.79,98,100,9.98,GL,2022-01-09 05:40:06
196,Le Vauclin,14.5452,-60.8388,77.05,69,0,9.22,MQ,2022-01-09 05:40:06
197,Santa Rosa,14.3122,121.1114,87.12,67,53,6.85,PH,2022-01-09 05:38:41
198,Patitirion,39.15,23.8667,51.28,76,96,5.39,GR,2022-01-09 05:40:07
199,Iki-Burul,45.8208,44.6472,26.94,64,73,17.36,RU,2022-01-09 05:40:07
200,Santo Antonio Do Ica,-3.1022,-67.9397,72.34,98,99,2.64,BR,2022-01-09 05:40:08
201,Sayhat,26.4852,50.0405,62.58,50,12,7.47,SA,2022-01-09 05:40:08
202,Mombasa,-4.0547,39.6636,79.21,83,40,6.91,KE,2022-01-09 05:40:08
203,Severnoye,56.3491,78.3619,25.48,93,100,14.09,RU,2022-01-09 05:40:08
204,Carnarvon,-24.8667,113.6333,82.47,47,0,21.85,AU,2022-01-09 05:40:09
205,Waw,7.7029,27.9953,81.05,26,74,4.61,SS,2022-01-09 05:40:09
206,Mazzarino,37.3043,14.2141,40.12,84,31,4.85,IT,2022-01-09 05:40:09
207,San,13.3034,-4.8956,63.46,17,14,8.48,ML,2022-01-09 05:40:10
208,Ilam,26.9167,87.9167,64.78,56,22,6.08,NP,2022-01-09 05:40:10
209,Troitsko-Pechorsk,62.7084,56.1964,1.56,93,61,7.96,RU,2022-01-09 05:40:10
210,Quelimane,-17.8786,36.8883,78.75,94,75,2.3,MZ,2022-01-09 05:40:11
211,Canton,23.1167,113.25,70.0,62,96,6.08,CN,2022-01-09 05:40:11
212,Toul,48.6667,5.9167,41.29,93,100,19.57,FR,2022-01-09 05:40:11
213,Santa Isabel Do Rio Negro,-0.4139,-65.0192,72.54,99,99,0.72,BR,2022-01-09 05:40:12
214,Kiri Buru,22.0833,85.35,79.11,35,0,0.56,IN,2022-01-09 05:40:12
215,Manono,-7.3,27.4167,74.07,91,96,1.59,CD,2022-01-09 05:32:08
216,Dwarka,22.2394,68.9678,68.79,48,0,7.16,IN,2022-01-09 05:40:12
217,Surab,28.4914,66.2585,41.76,40,0,8.95,PK,2022-01-09 05:40:13
218,Salair,54.2312,85.7972,27.37,80,100,15.12,RU,2022-01-09 05:40:13
219,Oistins,13.0667,-59.5333,77.09,69,75,16.11,BB,2022-01-09 05:40:13
220,Grand Baie,-20.0182,57.5802,83.44,79,6,5.01,MU,2022-01-09 05:40:14
221,Ribeira Brava,32.65,-17.0667,64.71,61,52,12.75,PT,2022-01-09 05:40:14
222,Sidi Ali,36.0998,0.4206,45.37,56,6,8.14,DZ,2022-01-09 05:40:14
223,Lagos,6.5833,3.75,79.12,90,43,3.65,NG,2022-01-09 05:36:36
224,Dortyol,36.8616,36.2289,47.86,69,62,14.12,TR,2022-01-09 05:40:15
225,Encruzilhada,-15.5314,-40.9094,67.95,97,100,3.2,BR,2022-01-09 05:40:15
226,Kattivakkam,13.2167,80.3167,86.09,75,20,9.62,IN,2022-01-09 05:40:16
227,Nchelenge,-9.3451,28.734,68.94,94,100,9.84,ZM,2022-01-09 05:40:16
228,Belmonte,-15.8631,-38.8828,77.5,85,100,11.43,BR,2022-01-09 05:40:17
229,Maldonado,-34.6667,-54.9167,65.59,87,0,9.51,UY,2022-01-09 05:35:26
230,Piacabucu,-10.4056,-36.4344,75.97,83,96,7.74,BR,2022-01-09 05:41:17
231,Dakar,14.6937,-17.4441,70.68,69,100,16.89,SN,2022-01-09 05:41:17
232,Saint-Cyr-Sur-Loire,47.4,0.6667,46.56,83,75,10.36,FR,2022-01-09 05:41:18
233,Koupela,12.1794,-0.3517,64.78,15,1,10.6,BF,2022-01-09 05:41:18
234,Bubaque,11.2833,-15.8333,77.9,49,59,12.41,GW,2022-01-09 05:41:18
235,Igrim,63.1906,64.4162,-0.02,91,73,8.19,RU,2022-01-09 05:41:19
236,Falkenstein,50.4779,12.3713,33.1,89,100,32.99,DE,2022-01-09 05:41:19
237,Maceio,-9.6658,-35.7353,74.64,94,0,5.75,BR,2022-01-09 05:36:45
238,Salym,60.0625,71.4789,-1.25,89,28,7.56,RU,2022-01-09 05:41:19
239,Takoradi,4.8845,-1.7554,78.51,84,33,1.92,GH,2022-01-09 05:41:20
240,Abnub,27.2696,31.1511,53.82,42,88,5.79,EG,2022-01-09 05:41:20
241,Neka,36.6508,53.299,49.51,93,75,2.3,IR,2022-01-09 05:41:20
242,Palafrugell,41.9174,3.1631,43.72,63,100,4.23,ES,2022-01-09 05:41:20
243,Ilulissat,69.2167,-51.1,15.82,57,100,3.44,GL,2022-01-09 05:41:21
244,Ibra,22.6906,58.5334,64.72,36,0,2.24,OM,2022-01-09 05:41:21
245,Harlingen,26.1906,-97.6961,75.94,96,100,12.66,US,2022-01-09 05:41:21
246,Muisne,0.6,-80.0333,74.64,91,67,3.53,EC,2022-01-09 05:41:21
247,Sechura,-5.5569,-80.8222,71.28,75,80,6.2,PE,2022-01-09 05:41:22
248,Tarnogskiy Gorodok,60.4997,43.5761,8.33,94,99,6.44,RU,2022-01-09 05:41:22
249,Jonkoping,57.7814,14.1562,34.39,100,100,2.3,SE,2022-01-09 05:41:23
250,Castro,-24.7911,-50.0119,55.18,96,69,5.7,BR,2022-01-09 05:41:23
251,Morondava,-20.2833,44.2833,84.18,66,54,7.52,MG,2022-01-09 05:41:23
252,Kyshtovka,56.555,76.6271,25.11,95,99,11.56,RU,2022-01-09 05:41:23
253,Vilhena,-12.7406,-60.1458,69.08,98,100,6.38,BR,2022-01-09 05:41:24
254,Huarmey,-10.0681,-78.1522,69.58,89,17,8.55,PE,2022-01-09 05:41:24
255,Jamsa,61.8642,25.19,15.15,96,100,5.1,FI,2022-01-09 05:41:24
256,Eyemouth,55.8713,-2.0901,37.24,80,46,15.99,GB,2022-01-09 05:41:25
257,Sokolovyy,51.5686,45.8331,-1.37,100,95,2.51,RU,2022-01-09 05:41:25
258,Inta,66.0317,60.1659,3.85,91,100,22.01,RU,2022-01-09 05:41:26
259,La Fleche,47.6982,-0.0755,47.14,84,93,13.87,FR,2022-01-09 05:41:26
260,Naron,43.5167,-8.1528,58.68,93,98,16.58,ES,2022-01-09 05:41:26
261,Manavalakurichi,8.1333,77.3,86.09,55,49,5.19,IN,2022-01-09 05:41:26
262,Vallenar,-28.5708,-70.7581,65.1,67,26,2.98,CL,2022-01-09 05:41:27
263,Mayor Pablo Lagerenza,-19.9309,-60.7718,77.94,46,16,2.15,PY,2022-01-09 05:41:27
264,Banepa,27.6298,85.5214,61.12,59,75,3.44,NP,2022-01-09 05:41:28
265,Goderich,43.7501,-81.7165,33.91,93,100,16.11,CA,2022-01-09 05:37:06
266,Narasannapeta,18.4167,84.05,77.32,56,5,6.29,IN,2022-01-09 05:41:28
267,Hurghada,27.2574,33.8129,62.64,72,0,0.0,EG,2022-01-09 05:41:28
268,Kibondo,-3.5864,30.7203,66.45,82,100,3.06,TZ,2022-01-09 05:41:29
269,Vila Franca Do Campo,37.7167,-25.4333,59.2,71,64,5.68,PT,2022-01-09 05:41:29
270,Mazagao,-0.115,-51.2894,77.05,95,100,3.0,BR,2022-01-09 05:41:29
271,Vorobyevka,50.6451,40.9245,16.92,88,86,12.5,RU,2022-01-09 05:41:30
272,Krasnoyarskiy,51.965,59.8967,-0.08,88,9,7.18,RU,2022-01-09 05:41:30
273,Catumbela,-12.4314,13.5472,75.13,86,100,4.94,AO,2022-01-09 05:41:30
274,Anloga,5.7947,0.8973,80.82,83,82,9.53,GH,2022-01-09 05:41:31
