City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
80,Portage,US,41.1667,-81.1998,42.04,57,0,5.75
81,Saldanha,ZA,-33.0117,17.9442,77.05,86,39,13.56
82,Lagoa,PT,39.05,-27.9833,60.57,79,100,19.75
83,Surt,LY,31.2089,16.5887,57.7,73,83,17.43
84,Los Algarrobos,PA,8.5,-82.4333,88.45,58,20,9.22
85,Bethanien,NA,-26.502,17.1583,83.88,32,32,17.78
86,Antalaha,MG,-14.9003,50.2788,76.8,91,100,4.61
87,Salalah,OM,17.0151,54.0924,69.42,79,7,3.44
88,Saint-Philippe,RE,-21.3585,55.7679,78.39,90,100,15.19
89,Mikhaylovskaya,RU,44.9947,40.5964,32.31,98,100,7.27
90,Decatur,US,39.8403,-88.9548,48.74,65,100,6.76
91,Kurmanayevka,RU,52.5093,52.0675,4.32,96,98,3.74
92,Iquique,CL,-20.2208,-70.1431,74.75,69,34,11.45
93,Clyde River,CA,70.4692,-68.5914,-28.97,68,0,0.0
94,Sambava,MG,-14.2667,50.1667,78.35,88,100,3.67
95,Husavik,IS,66.0449,-17.3389,31.91,72,100,30.11
96,Kavaratti,IN,10.5669,72.642,78.78,68,29,11.05
97,Boa Vista,BR,2.8197,-60.6733,93.18,40,75,10.36
98,Ewo,CG,-0.8725,14.8206,78.84,70,100,6.42
99,Marsa Matruh,EG,31.3525,27.2453,57.4,67,0,9.22
100,Praia,CV,14.9215,-23.5087,75.74,50,96,6.91
101,Castro,BR,-24.7911,-50.0119,73.0,77,100,1.97
102,Richards Bay,ZA,-28.783,32.0377,74.26,87,100,11.63
103,Pangnirtung,CA,66.1451,-65.7125,-22.0,69,40,2.3
104,Brae,GB,60.3964,-1.353,48.15,86,100,31.99
105,Chimbote,PE,-9.0853,-78.5783,73.83,75,83,11.68
106,Balaguer,ES,41.7912,0.8109,47.26,76,0,3.71
107,Birao,CF,10.2849,22.7882,83.61,27,92,5.41
108,Dunn,US,44.95,-91.8835,36.91,87,25,3.11
109,Andilamena,MG,-17.0167,48.5833,68.16,93,100,3.33
110,Labelle,US,26.7617,-81.4384,78.87,47,72,10.8
111,Walvis Bay,NA,-22.9575,14.5053,65.35,82,51,14.97
112,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,20,8.05
113,Zyryanovsk,KZ,49.7386,84.2719,-10.53,96,100,1.57
114,Jizan,SA,17.3333,42.6667,79.74,79,8,2.19
115,Chudniv,UA,50.052,28.1175,8.98,95,69,7.54
116,Peniche,PT,39.3558,-9.3811,59.09,71,2,10.54
117,Westerkappeln,DE,52.3167,7.8833,38.82,90,66,5.55
118,Hofn,IS,64.2539,-15.2082,37.42,87,75,20.71
119,Marcovia,HN,13.2881,-87.3097,95.45,43,40,9.22
120,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,83,7,9.66
121,Hobyo,SO,5.3505,48.5268,77.49,74,100,20.18
122,Alexandria,EG,31.2156,29.9553,60.76,63,40,10.36
123,Laguna,US,38.421,-121.4238,66.96,80,0,1.01
124,Benghazi,LY,32.1167,20.0667,58.84,71,100,8.63
125,Tres Arroyos,AR,-38.3739,-60.2798,105.1,4,0,10.51
126,Buraydah,SA,26.326,43.975,68.45,43,0,8.46
127,Chake Chake,TZ,-5.2459,39.7666,80.47,76,52,14.63
128,Knysna,ZA,-34.0363,23.0471,68.38,84,68,10.13
129,Marzuq,YE,14.4,46.4667,64.44,45,50,1.28
130,Araouane,ML,18.9048,-3.5265,70.27,9,44,9.26
131,Codrington,AU,-38.2667,141.9667,63.1,88,100,12.37
132,Takab,IR,36.4009,47.1133,31.93,90,89,0.63
133,Gashua,NG,12.871,11.0482,75.54,16,5,8.52
134,Coquimbo,CL,-29.9533,-71.3436,68.86,73,16,10.29
135,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,85,100,9.46
136,Ilulissat,GL,69.2167,-51.1,-0.72,98,100,6.76
137,Shieli,KZ,44.1667,66.75,38.3,70,100,8.28
138,Cockburn Town,TC,21.4612,-71.1419,78.76,61,75,6.91
139,Kyshtovka,RU,56.555,76.6271,-13.41,100,100,3.13
140,Ostrovnoy,RU,68.0531,39.5131,26.17,88,100,38.81
141,Yar-Sale,RU,66.8333,70.8333,6.31,92,100,12.86
142,Saint-Leu,RE,-21.15,55.2833,77.86,79,99,1.48
143,Warmbad,NA,-28.45,18.7333,92.75,19,5,16.64
144,Isilkul,RU,54.9109,71.2728,-13.81,100,92,4.32
